#ies_format_version: 1.0
#file: 20250801_1000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 1.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	device_A_31;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	device_A_31
20250801;	163128;	1754046088.000;	           9
20250801;	163129;	1754046089.000;	           9
20250801;	163130;	1754046090.000;	           9
20250801;	163131;	1754046091.000;	           9
20250801;	163132;	1754046092.000;	           9
20250801;	163133;	1754046093.000;	           9
20250801;	163134;	1754046094.000;	           9
20250801;	163135;	1754046095.000;	           9
20250801;	163136;	1754046096.000;	           9
20250801;	163137;	1754046097.000;	           9
20250801;	163138;	1754046098.000;	           9
20250801;	163139;	1754046099.000;	           9
20250801;	163140;	1754046100.000;	           9
20250801;	163141;	1754046101.000;	           9
20250801;	163142;	1754046102.000;	           9
20250801;	163143;	1754046103.000;	           9
20250801;	163144;	1754046104.000;	           9
20250801;	163145;	1754046105.000;	           9
20250801;	163146;	1754046106.000;	           9
20250801;	163147;	1754046107.000;	           9
20250801;	163148;	1754046108.000;	           9
20250801;	163149;	1754046109.000;	           9
20250801;	163150;	1754046110.000;	           9
20250801;	163151;	1754046111.000;	           9
20250801;	163152;	1754046112.000;	           9
20250801;	163153;	1754046113.000;	           9
20250801;	163154;	1754046114.000;	           9
20250801;	163155;	1754046115.000;	           9
20250801;	163156;	1754046116.000;	           9
20250801;	163157;	1754046117.000;	           9
20250801;	163158;	1754046118.000;	           9
20250801;	163159;	1754046119.000;	           9
20250801;	163200;	1754046120.000;	           9
20250801;	163201;	1754046121.000;	           9
20250801;	163202;	1754046122.000;	           9
20250801;	163203;	1754046123.000;	           9
20250801;	163204;	1754046124.000;	           9
20250801;	163205;	1754046125.000;	           9
20250801;	163206;	1754046126.000;	           9
20250801;	163207;	1754046127.000;	           9
20250801;	163208;	1754046128.000;	           9
